FIX
1.0	0.000	0.000	0.000
TRIP
DATE 2009-06-27 
DECLINATION     0.00
DATA
1.60	1.61	96.34	18.31	3.922	<
1.61		0.13	0.90	0.446	<
1.61		41.74	-70.12	0.548	<
1.61		32.05	70.79	0.825	<
1.61	1.62	96.93	17.64	2.165	<
1.62		213.36	8.71	0.528	<
1.62		212.69	-74.80	0.607	<
1.62		257.01	73.41	0.607	<
1.62	1.63	156.77	19.61	1.451	<
1.63		13.57	1.49	0.537	<
1.63		16.74	-60.61	0.934	<
1.63		313.14	69.73	0.941	<
1.63		311.26	-14.00	1.095	<
1.63		269.63	-27.94	2.630	<
1.63	1.64	81.86	28.63	4.681	<

PLAN
STATIONS
0.000	0.000	1.0
0.652	-3.506	1.1
2.026	-12.008	1.2
1.157	-15.513	1.3
4.158	-20.461	1.4
4.558	-25.744	1.5
7.582	-27.717	1.6
9.152	-31.997	1.7
12.211	-39.577	1.8
12.724	-41.388	1.9
14.142	-42.969	1.10
14.674	-47.757	1.11
15.640	-50.493	1.12
19.838	-50.157	1.13
16.532	-48.527	1.14
14.009	-49.925	1.15
19.532	-53.856	1.16
26.579	-49.829	1.17
26.426	-56.239	1.18
24.105	-62.903	1.19
20.021	-56.655	1.20
19.525	-54.029	1.21
20.076	-66.562	1.22
18.630	-66.582	1.23
18.073	-66.135	1.24
23.235	-67.327	1.25
26.281	-71.104	1.26
27.416	-72.886	1.27
28.107	-74.707	1.28
24.575	-79.314	1.29
24.088	-77.761	1.30
28.872	-78.026	1.31
33.018	-80.367	1.32
38.419	-82.492	1.33
37.191	-86.854	1.34
37.965	-89.494	1.35
33.075	-90.163	1.36
28.178	-90.455	1.37
27.758	-96.478	1.38
29.669	-107.873	1.39
29.812	-107.892	1.40
21.234	-95.602	1.41
19.606	-93.437	1.42
22.388	-97.172	1.43
19.511	-101.829	1.44
11.597	-97.631	1.45
8.484	-106.829	1.46
20.047	-122.096	1.47
8.134	-108.698	1.48
3.714	-105.865	1.49
-0.468	-104.880	1.50
-0.891	-102.018	1.51
-6.953	-98.987	1.52
-11.632	-96.662	1.53
38.788	-81.151	1.54
40.116	-81.173	1.55
39.704	-83.001	1.56
41.255	-83.779	1.57
41.561	-85.652	1.58
43.562	-86.233	1.59
44.593	-86.548	1.60
48.294	-86.959	1.61
50.342	-87.208	1.62
50.881	-88.464	1.63
54.948	-87.882	1.64
SHOTS
50.881	-88.464	54.948	-87.882
50.342	-87.208	50.881	-88.464
50.881	-88.464	51.007	-87.942
50.881	-88.464	51.013	-88.025
50.881	-88.464	50.643	-88.241
50.881	-88.464	50.082	-87.763
50.881	-88.464	48.558	-88.479
48.294	-86.959	50.342	-87.208
50.342	-87.208	50.055	-87.644
50.342	-87.208	50.256	-87.342
50.342	-87.208	50.173	-87.247
44.593	-86.548	48.294	-86.959
48.294	-86.959	48.295	-86.513
48.294	-86.959	48.418	-86.820
48.294	-86.959	48.438	-86.729
43.562	-86.233	44.593	-86.548
44.593	-86.548	44.658	-86.159
44.593	-86.548	44.561	-86.198
44.593	-86.548	44.694	-86.380
41.561	-85.652	43.562	-86.233
43.562	-86.233	43.532	-85.805
43.562	-86.233	43.579	-86.167
43.562	-86.233	43.486	-86.001
41.255	-83.779	41.561	-85.652
41.561	-85.652	41.819	-85.307
41.561	-85.652	41.579	-85.667
41.561	-85.652	41.775	-85.514
39.704	-83.001	41.255	-83.779
41.255	-83.779	41.010	-84.196
41.255	-83.779	41.253	-83.840
41.255	-83.779	41.204	-83.860
40.116	-81.173	39.704	-83.001
39.704	-83.001	40.087	-82.827
39.704	-83.001	39.712	-82.960
39.704	-83.001	39.761	-83.006
38.788	-81.151	40.116	-81.173
40.116	-81.173	39.397	-81.774
38.419	-82.492	38.788	-81.151
38.788	-81.151	38.913	-81.536
38.788	-81.151	38.874	-81.217
38.788	-81.151	38.956	-81.329
-6.953	-98.987	-11.632	-96.662
-0.891	-102.018	-6.953	-98.987
-6.953	-98.987	-7.334	-99.642
-6.953	-98.987	-6.830	-99.037
-6.953	-98.987	-8.405	-98.965
-0.468	-104.880	-0.891	-102.018
-0.891	-102.018	-1.733	-102.826
-0.891	-102.018	-0.734	-101.998
-0.891	-102.018	-1.093	-102.185
3.714	-105.865	-0.468	-104.880
-0.468	-104.880	0.427	-104.270
-0.468	-104.880	-0.262	-104.564
-0.468	-104.880	-0.452	-104.290
-0.468	-104.880	-0.079	-104.743
-0.468	-104.880	1.538	-105.650
8.134	-108.698	3.714	-105.865
8.484	-106.829	8.134	-108.698
8.134	-108.698	6.071	-106.402
8.134	-108.698	5.927	-106.332
8.134	-108.698	4.189	-107.907
8.484	-106.829	20.047	-122.096
20.047	-122.096	12.293	-123.807
20.047	-122.096	10.696	-122.120
20.047	-122.096	26.182	-118.505
20.047	-122.096	32.928	-125.758
20.047	-122.096	35.470	-135.382
20.047	-122.096	20.131	-134.827
20.047	-122.096	22.874	-125.767
20.047	-122.096	24.827	-149.946
11.597	-97.631	8.484	-106.829
8.484	-106.829	16.710	-103.837
8.484	-106.829	20.569	-109.326
8.484	-106.829	20.756	-115.629
8.484	-106.829	18.276	-130.959
8.484	-106.829	18.369	-118.291
